partNo,configuration_mtoModelCode,part_partCode,quantity
1,MTO-HUNTER350,PART-001,1
2,MTO-HUNTER350,PART-003,1
3,MTO-CLASSIC350,PART-002,1
4,MTO-CLASSIC350,PART-008,1
5,MTO-BULLET350,PART-004,1
6,MTO-BULLET350,PART-019,1
7,MTO-METEOR350,PART-005,1
8,MTO-METEOR350,PART-006,1
9,MTO-GUERRILLA450,PART-001,1
10,MTO-GUERRILLA450,PART-014,2
11,MTO-HIMALAYAN450,PART-002,1
12,MTO-HIMALAYAN450,PART-018,1
13,MTO-SCRAM411,PART-003,1
14,MTO-INTERCEPTOR650,PART-007,1
15,MTO-INTERCEPTOR650,PART-010,1
16,MTO-CONTINENTAL650,PART-011,2
17,MTO-SUPER-METEOR650,PART-006,1
18,MTO-SHOTGUN650,PART-017,1
19,MTO-BEAR650,PART-015,1
20,MTO-ELECTRA350,PART-012,1
