mtoModelCode,validFrom,referenceMTSModel_modelCode
MTO-HUNTER350,2026-01-01,RE-HUNTER350
MTO-CLASSIC350,2026-01-01,RE-CLASSIC350
MTO-BULLET350,2026-01-01,RE-BULLET350
MTO-METEOR350,2026-01-01,RE-METEOR350
MTO-GUERRILLA450,2026-01-01,RE-GUERRILLA450
MTO-HIMALAYAN450,2026-01-01,RE-HIMALAYAN450
MTO-SCRAM411,2026-01-01,RE-SCRAM411
MTO-INTERCEPTOR650,2026-01-01,RE-INTERCEPTOR650
MTO-CONTINENTAL650,2026-01-01,RE-CONTINENTAL650
MTO-SUPER-METEOR650,2026-01-01,RE-SUPER-METEOR650
MTO-SHOTGUN650,2026-01-01,RE-SHOTGUN650
MTO-BEAR650,2026-01-01,RE-BEAR650
MTO-CLASSIC500,2026-01-01,RE-CLASSIC500
MTO-BULLET500,2026-01-01,RE-BULLET500
MTO-HIMALAYAN411,2026-01-01,RE-HIMALAYAN411
MTO-THUNDERBIRD350,2026-01-01,RE-THUNDERBIRD350
MTO-THUNDERBIRD500,2026-01-01,RE-THUNDERBIRD500
MTO-ELECTRA350,2026-01-01,RE-ELECTRA350
MTO-CLASSIC350-HAL,2026-01-01,RE-CLASSIC350-HAL
MTO-HUNTER350-METRO,2026-01-01,RE-HUNTER350-METRO
