regionCode,engineType,validFrom,helmet,transportation,helmetMargin,otherExpensesBelow500,otherExpensesAbove500,insuranceRateBelow350,insuranceRateAbove350,tpaPaBelow350,tpaPaAbove350,noPlateCharges,approvalStatus
TN01,Petrol,2026-01-01,1200.00,1800.00,150.00,300.00,500.00,0.0300,0.0350,500.00,650.00,450.00,APPROVED
TN01,EV,2026-01-01,0,1800,0,300,500,0.03,0.035,500,650,450,APPROVED
KA02,Petrol,2026-01-01,1250.00,1900.00,150.00,320.00,520.00,0.0300,0.0350,500.00,650.00,460.00,APPROVED
KL03,Petrol,2026-01-01,1300.00,2000.00,160.00,350.00,550.00,0.0325,0.0375,520.00,680.00,470.00,APPROVED
AP04,Petrol,2026-01-01,1200.00,1750.00,140.00,300.00,500.00,0.0300,0.0350,500.00,650.00,440.00,APPROVED
TS05,Petrol,2026-01-01,1200.00,1800.00,150.00,310.00,510.00,0.0300,0.0350,500.00,650.00,450.00,APPROVED
MH06,Petrol,2026-01-01,1350.00,2100.00,170.00,350.00,600.00,0.0325,0.0375,550.00,700.00,500.00,APPROVED
GJ07,Petrol,2026-01-01,1250.00,1900.00,155.00,320.00,530.00,0.0300,0.0350,510.00,660.00,470.00,APPROVED
RJ08,Petrol,2026-01-01,1200.00,2000.00,150.00,300.00,520.00,0.0300,0.0350,500.00,650.00,450.00,APPROVED
DL09,Petrol,2026-01-01,1400.00,2200.00,180.00,400.00,650.00,0.0350,0.0400,600.00,750.00,550.00,APPROVED
HR10,Petrol,2026-01-01,1350.00,2100.00,170.00,380.00,620.00,0.0325,0.0375,570.00,720.00,520.00,APPROVED
PB11,Petrol,2026-01-01,1300.00,2050.00,165.00,350.00,580.00,0.0325,0.0375,550.00,700.00,500.00,APPROVED
UP12,Petrol,2026-01-01,1250.00,1950.00,155.00,330.00,550.00,0.0300,0.0350,520.00,680.00,480.00,APPROVED
MP13,Petrol,2026-01-01,1200.00,1850.00,150.00,310.00,520.00,0.0300,0.0350,500.00,650.00,460.00,APPROVED
WB14,Petrol,2026-01-01,1300.00,2000.00,165.00,350.00,580.00,0.0325,0.0375,540.00,690.00,500.00,APPROVED
BR15,Petrol,2026-01-01,1200.00,1800.00,145.00,300.00,500.00,0.0300,0.0350,500.00,650.00,450.00,APPROVED
OD16,Petrol,2026-01-01,1200.00,1750.00,145.00,300.00,500.00,0.0300,0.0350,500.00,640.00,440.00,APPROVED
JH17,Petrol,2026-01-01,1250.00,1900.00,155.00,320.00,530.00,0.0300,0.0350,510.00,660.00,470.00,APPROVED
CG18,Petrol,2026-01-01,1200.00,1800.00,150.00,300.00,510.00,0.0300,0.0350,500.00,650.00,450.00,APPROVED
AS19,Petrol,2026-01-01,1300.00,2050.00,165.00,340.00,570.00,0.0325,0.0375,540.00,690.00,490.00,APPROVED
UK20,Petrol,2026-01-01,1350.00,2150.00,170.00,360.00,600.00,0.0325,0.0375,560.00,710.00,520.00,APPROVED
