id,region_regionCode,slab,engineType,minimumPrice,maximumPrice,percentage,fixedAmount,approvalStatus
61111111-1111-1111-1111-111111111111,TN01,1,Petrol,0.00,100000.00,0.0100,250.00,APPROVED
61111111-1111-1111-1111-111111111112,TN01,2,Petrol,100001.00,200000.00,0.0120,300.00,APPROVED
61111111-1111-1111-1111-111111111113,TN01,3,Petrol,200001.00,500000.00,0.0150,400.00,APPROVED
61111111-1111-1111-1111-111111111114,TN01,4,Petrol,500001.00,1000000.00,0.0180,500.00,APPROVED
61111111-1111-1111-1111-111111111115,TN01,1,EV,0.00,100000.00,0.0050,150.00,APPROVED
61111111-1111-1111-1111-111111111116,TN01,2,EV,100001.00,200000.00,0.0080,200.00,APPROVED
61111111-1111-1111-1111-111111111117,TN01,3,EV,200001.00,500000.00,0.0100,250.00,APPROVED
61111111-1111-1111-1111-111111111118,TN01,4,EV,500001.00,1000000.00,0.0120,300.00,APPROVED

62222222-2222-2222-2222-222222222221,KA02,1,Petrol,0.00,100000.00,0.0100,250.00,APPROVED
62222222-2222-2222-2222-222222222222,KA02,2,Petrol,100001.00,200000.00,0.0120,300.00,APPROVED
62222222-2222-2222-2222-222222222223,KA02,3,Petrol,200001.00,500000.00,0.0150,400.00,APPROVED
62222222-2222-2222-2222-222222222224,KA02,4,Petrol,500001.00,1000000.00,0.0180,500.00,APPROVED
62222222-2222-2222-2222-222222222225,KA02,1,EV,0.00,100000.00,0.0050,150.00,APPROVED
62222222-2222-2222-2222-222222222226,KA02,2,EV,100001.00,200000.00,0.0080,200.00,APPROVED
62222222-2222-2222-2222-222222222227,KA02,3,EV,200001.00,500000.00,0.0100,250.00,APPROVED
62222222-2222-2222-2222-222222222228,KA02,4,EV,500001.00,1000000.00,0.0120,300.00,APPROVED

63333333-3333-3333-3333-333333333331,KL03,1,Petrol,0.00,100000.00,0.0120,300.00,APPROVED
63333333-3333-3333-3333-333333333332,KL03,2,Petrol,100001.00,200000.00,0.0140,350.00,APPROVED
63333333-3333-3333-3333-333333333333,KL03,3,Petrol,200001.00,500000.00,0.0180,450.00,APPROVED
63333333-3333-3333-3333-333333333334,KL03,4,Petrol,500001.00,1000000.00,0.0200,550.00,APPROVED
63333333-3333-3333-3333-333333333335,KL03,1,EV,0.00,100000.00,0.0060,180.00,APPROVED
63333333-3333-3333-3333-333333333336,KL03,2,EV,100001.00,200000.00,0.0090,220.00,APPROVED
63333333-3333-3333-3333-333333333337,KL03,3,EV,200001.00,500000.00,0.0120,280.00,APPROVED
63333333-3333-3333-3333-333333333338,KL03,4,EV,500001.00,1000000.00,0.0140,350.00,APPROVED

64444444-4444-4444-4444-444444444441,AP04,1,Petrol,0.00,100000.00,0.0100,250.00,APPROVED
64444444-4444-4444-4444-444444444442,AP04,2,Petrol,100001.00,200000.00,0.0120,300.00,APPROVED
64444444-4444-4444-4444-444444444443,AP04,3,Petrol,200001.00,500000.00,0.0150,400.00,APPROVED
64444444-4444-4444-4444-444444444444,AP04,4,Petrol,500001.00,1000000.00,0.0180,500.00,APPROVED
64444444-4444-4444-4444-444444444445,AP04,1,EV,0.00,100000.00,0.0050,150.00,APPROVED
