id,region_regionCode,validFrom,slab,engineType,ccMin,ccMax,minimumPrice,maximumPrice,rtoPercent,flatPriceValue,approvalStatus
11111111-1111-1111-1111-111111111111,TN01,2026-01-01,1,Petrol,0.00,350.00,0.00,100000.00,0.0800,0.00,APPROVED
11111111-1111-1111-1111-111111111112,TN01,2026-01-01,2,Petrol,351.00,500.00,100001.00,200000.00,0.1000,0.00,APPROVED
11111111-1111-1111-1111-111111111113,TN01,2026-01-01,3,Petrol,501.00,750.00,200001.00,500000.00,0.1200,0.00,APPROVED
11111111-1111-1111-1111-111111111114,TN01,2026-01-01,4,Petrol,751.00,1000.00,500001.00,1000000.00,0.1500,0.00,APPROVED
11111111-1111-1111-1111-111111111115,TN01,2026-01-01,1,EV,0.00,350.00,0.00,100000.00,0.0500,0.00,APPROVED
11111111-1111-1111-1111-111111111116,TN01,2026-01-01,2,EV,351.00,500.00,100001.00,200000.00,0.0600,0.00,APPROVED
11111111-1111-1111-1111-111111111117,TN01,2026-01-01,3,EV,501.00,750.00,200001.00,500000.00,0.0700,0.00,APPROVED
11111111-1111-1111-1111-111111111118,TN01,2026-01-01,4,EV,751.00,1000.00,500001.00,1000000.00,0.0800,0.00,APPROVED

22222222-2222-2222-2222-222222222221,KA02,2026-01-01,1,Petrol,0.00,350.00,0.00,100000.00,0.0800,0.00,APPROVED
22222222-2222-2222-2222-222222222222,KA02,2026-01-01,2,Petrol,351.00,500.00,100001.00,200000.00,0.1000,0.00,APPROVED
22222222-2222-2222-2222-222222222223,KA02,2026-01-01,3,Petrol,501.00,750.00,200001.00,500000.00,0.1200,0.00,APPROVED
22222222-2222-2222-2222-222222222224,KA02,2026-01-01,4,Petrol,751.00,1000.00,500001.00,1000000.00,0.1500,0.00,APPROVED
22222222-2222-2222-2222-222222222225,KA02,2026-01-01,1,EV,0.00,350.00,0.00,100000.00,0.0500,0.00,APPROVED
22222222-2222-2222-2222-222222222226,KA02,2026-01-01,2,EV,351.00,500.00,100001.00,200000.00,0.0600,0.00,APPROVED
22222222-2222-2222-2222-222222222227,KA02,2026-01-01,3,EV,501.00,750.00,200001.00,500000.00,0.0700,0.00,APPROVED
22222222-2222-2222-2222-222222222228,KA02,2026-01-01,4,EV,751.00,1000.00,500001.00,1000000.00,0.0800,0.00,APPROVED

33333333-3333-3333-3333-333333333331,KL03,2026-01-01,1,Petrol,0.00,350.00,0.00,100000.00,0.0900,0.00,APPROVED
33333333-3333-3333-3333-333333333332,KL03,2026-01-01,2,Petrol,351.00,500.00,100001.00,200000.00,0.1100,0.00,APPROVED
33333333-3333-3333-3333-333333333333,KL03,2026-01-01,3,Petrol,501.00,750.00,200001.00,500000.00,0.1300,0.00,APPROVED
33333333-3333-3333-3333-333333333334,KL03,2026-01-01,4,Petrol,751.00,1000.00,500001.00,1000000.00,0.1600,0.00,APPROVED
33333333-3333-3333-3333-333333333335,KL03,2026-01-01,1,EV,0.00,350.00,0.00,100000.00,0.0500,0.00,APPROVED
33333333-3333-3333-3333-333333333336,KL03,2026-01-01,2,EV,351.00,500.00,100001.00,200000.00,0.0600,0.00,APPROVED
33333333-3333-3333-3333-333333333337,KL03,2026-01-01,3,EV,501.00,750.00,200001.00,500000.00,0.0700,0.00,APPROVED
33333333-3333-3333-3333-333333333338,KL03,2026-01-01,4,EV,751.00,1000.00,500001.00,1000000.00,0.0800,0.00,APPROVED

44444444-4444-4444-4444-444444444441,AP04,2026-01-01,1,Petrol,0.00,350.00,0.00,100000.00,0.0800,0.00,APPROVED
